,Labels,Value
0,AE,0
1,AE,0
2,AE,2
3,AE,2
4,AE,2
5,AE,3
6,AE,3
7,AE,3
8,AE,3
9,AE,4
10,AE,3
11,AE,3
12,AE,3
13,AE,3
14,AE,4
15,AE,4
16,AE,3
17,AE,2
18,AE,2
19,AE,2
20,AE,2
21,AE,2
22,AE,3
23,AE,3
24,AE,3
25,AE,3
26,AE,4
27,AE,4
28,AE,3
29,AE,3
30,AE,3
31,AE,2
32,AE,2
33,AE,1
34,AE,1
35,AE,1
36,AE,1
37,AE,1
38,AE,3
39,AE,3
40,AE,3
41,AE,3
42,AE,3
43,AE,3
44,AE,2
45,AE,2
46,AE,2
47,AE,2
48,AE,2
49,AE,2
50,AE,3
51,AE,3
52,AE,4
53,AE,4
54,AE,4
55,AE,3
56,AE,1
57,AE,1
58,AE,0
59,AE,0
60,AE,0
61,AE,0
62,AE,0
63,AE,2
64,AE,2
65,AE,2
66,AE,2
67,AE,2
68,AE,2
69,AE,2
70,AE,2
71,AE,2
72,AE,2
73,AE,1
74,AE,1
75,AE,1
76,AE,1
77,AE,2
78,AE,2
79,AE,2
80,AE,2
81,AE,3
82,AE,3
83,AE,3
84,AE,3
85,AE,3
86,AE,3
87,AE,3
88,AE,1
89,AE,1
90,AE,3
91,AE,4
92,AE,4
93,AE,3
94,AE,3
95,AE,2
96,AE,2
97,AE,2
98,AE,2
99,AE,3
100,AE,3
101,AE,3
102,AE,3
103,AE,3
104,AE,3
105,AE,1
106,AE,1
107,AE,1
108,AE,1
109,AE,1
110,AE,1
111,AE,1
112,AE,1
113,AE,1
114,AE,3
115,AE,4
116,AE,4
117,AE,4
118,AE,4
119,AE,4
120,AE,4
121,AE,4
122,AE,4
123,AE,4
124,AE,4
125,AE,3
126,AE,3
127,AE,3
128,AE,2
129,AE,2
130,AE,2
131,AE,2
132,AE,2
133,AE,2
134,AE,3
135,AE,3
136,AE,3
137,AE,3
138,AE,4
139,AE,4
140,AE,4
141,AE,4
142,AE,4
143,AE,3
144,AE,3
145,AE,3
146,AE,3
147,AE,3
148,AE,2
149,AE,2
150,AE,2
151,AE,2
152,AE,3
153,AE,4
154,AE,4
155,AE,4
156,AE,3
157,AE,3
158,AE,3
159,AE,3
160,AE,2
161,AE,2
162,AE,0
163,AE,0
164,AE,0
165,AE,0
166,AE,2
167,AE,2
168,AE,2
169,AE,2
170,AE,2
171,AE,0
172,AE,0
173,AE,0
174,AE,1
175,AE,1
176,AE,1
177,AE,1
178,AE,3
179,AE,3
180,AE,3
181,AE,4
182,AE,4
183,AE,3
184,AE,4
185,AE,3
186,AE,3
187,AE,3
188,AE,3
189,AE,3
190,AE,4
191,AE,3
192,AE,1
193,AE,1
194,AE,0
195,AE,0
196,AE,0
197,AE,0
198,AE,0
199,AE,1
200,AE,1
201,AE,1
202,AE,1
203,AE,2
204,AE,2
205,AE,2
206,AE,2
207,AE,3
208,AE,3
209,AE,3
210,AE,3
211,AE,3
212,AE,4
213,AE,4
214,AE,4
215,AE,4
216,AE,4
217,AE,4
218,AE,4
219,AE,3
220,AE,3
221,AE,1
222,AE,2
223,AE,2
224,AE,2
225,AE,2
226,AE,2
227,AE,2
228,AE,2
229,AE,2
230,AE,2
231,AE,2
232,AE,2
233,AE,3
234,AE,3
235,AE,2
236,AE,2
237,AE,1
238,AE,1
239,AE,1
240,AE,3
241,AE,3
242,AE,3
243,AE,3
244,AE,4
245,AE,4
246,AE,4
247,AE,3
248,AE,2
249,AE,0
250,AE,0
251,AE,0
252,AE,0
