,Labels,Value
0,CAE,1
1,CAE,1
2,CAE,1
3,CAE,2
4,CAE,2
5,CAE,2
6,CAE,2
7,CAE,2
8,CAE,2
9,CAE,2
10,CAE,3
11,CAE,3
12,CAE,2
13,CAE,2
14,CAE,2
15,CAE,2
16,CAE,1
17,CAE,0
18,CAE,0
19,CAE,0
20,CAE,0
21,CAE,0
22,CAE,1
23,CAE,1
24,CAE,2
25,CAE,2
26,CAE,2
27,CAE,2
28,CAE,2
29,CAE,2
30,CAE,2
31,CAE,2
32,CAE,1
33,CAE,1
34,CAE,2
35,CAE,2
36,CAE,2
37,CAE,2
38,CAE,2
39,CAE,2
40,CAE,2
41,CAE,1
42,CAE,1
43,CAE,1
44,CAE,1
45,CAE,1
46,CAE,1
47,CAE,2
48,CAE,4
49,CAE,4
50,CAE,4
51,CAE,4
52,CAE,2
53,CAE,2
54,CAE,2
55,CAE,2
56,CAE,2
57,CAE,1
58,CAE,1
59,CAE,1
60,CAE,4
61,CAE,4
62,CAE,4
63,CAE,4
64,CAE,4
65,CAE,4
66,CAE,4
67,CAE,4
68,CAE,4
69,CAE,4
70,CAE,2
71,CAE,2
72,CAE,2
73,CAE,2
74,CAE,2
75,CAE,2
76,CAE,4
77,CAE,4
78,CAE,4
79,CAE,4
80,CAE,4
81,CAE,2
82,CAE,2
83,CAE,2
84,CAE,2
85,CAE,1
86,CAE,1
87,CAE,1
88,CAE,3
89,CAE,2
90,CAE,2
91,CAE,2
92,CAE,2
93,CAE,2
94,CAE,2
95,CAE,2
96,CAE,2
97,CAE,2
98,CAE,2
99,CAE,2
100,CAE,2
101,CAE,2
102,CAE,2
103,CAE,2
104,CAE,1
105,CAE,0
106,CAE,0
107,CAE,0
108,CAE,0
109,CAE,1
110,CAE,3
111,CAE,3
112,CAE,3
113,CAE,3
114,CAE,2
115,CAE,2
116,CAE,2
117,CAE,2
118,CAE,2
119,CAE,2
120,CAE,2
121,CAE,2
122,CAE,2
123,CAE,2
124,CAE,2
125,CAE,2
126,CAE,2
127,CAE,2
128,CAE,2
129,CAE,2
130,CAE,2
131,CAE,2
132,CAE,2
133,CAE,2
134,CAE,2
135,CAE,2
136,CAE,2
137,CAE,4
138,CAE,2
139,CAE,2
140,CAE,2
141,CAE,2
142,CAE,1
143,CAE,1
144,CAE,1
145,CAE,0
