,Labels,Value
0,RMM-VAE,0
1,RMM-VAE,0
2,RMM-VAE,0
3,RMM-VAE,0
4,RMM-VAE,2
5,RMM-VAE,2
6,RMM-VAE,3
7,RMM-VAE,3
8,RMM-VAE,3
9,RMM-VAE,1
10,RMM-VAE,1
11,RMM-VAE,0
12,RMM-VAE,0
13,RMM-VAE,0
14,RMM-VAE,1
15,RMM-VAE,1
16,RMM-VAE,1
17,RMM-VAE,1
18,RMM-VAE,1
19,RMM-VAE,1
20,RMM-VAE,1
21,RMM-VAE,1
22,RMM-VAE,1
23,RMM-VAE,1
24,RMM-VAE,1
25,RMM-VAE,3
26,RMM-VAE,3
27,RMM-VAE,2
28,RMM-VAE,2
29,RMM-VAE,1
30,RMM-VAE,0
31,RMM-VAE,0
32,RMM-VAE,0
33,RMM-VAE,0
34,RMM-VAE,0
35,RMM-VAE,1
36,RMM-VAE,2
37,RMM-VAE,2
38,RMM-VAE,2
39,RMM-VAE,2
40,RMM-VAE,2
41,RMM-VAE,1
42,RMM-VAE,1
43,RMM-VAE,1
44,RMM-VAE,1
45,RMM-VAE,1
46,RMM-VAE,1
47,RMM-VAE,3
48,RMM-VAE,4
49,RMM-VAE,4
50,RMM-VAE,4
51,RMM-VAE,4
52,RMM-VAE,4
53,RMM-VAE,4
54,RMM-VAE,2
55,RMM-VAE,2
56,RMM-VAE,2
57,RMM-VAE,2
58,RMM-VAE,2
59,RMM-VAE,0
60,RMM-VAE,0
61,RMM-VAE,2
62,RMM-VAE,2
63,RMM-VAE,2
64,RMM-VAE,2
65,RMM-VAE,1
66,RMM-VAE,1
67,RMM-VAE,1
68,RMM-VAE,2
69,RMM-VAE,2
70,RMM-VAE,2
71,RMM-VAE,2
72,RMM-VAE,2
73,RMM-VAE,2
74,RMM-VAE,4
75,RMM-VAE,4
76,RMM-VAE,4
77,RMM-VAE,4
78,RMM-VAE,4
79,RMM-VAE,4
80,RMM-VAE,4
81,RMM-VAE,2
82,RMM-VAE,2
